Gene_ID	RiboCon1	RiboCon2	RiboSil1	RiboSil3	TotalCon1	TotalCon2	TotalCon3	TotalSil1	TotalSil2	TotalSil3
ENSG00000006744.11	258	217	252	178	32340	42676	30782	25312	34457	30442
ENSG00000006747.10	0	0	0	0	12	11	6	2	5	13
ENSG00000006756.11	0	0	0	0	0	3	2	0	0	0
ENSG00000006757.7	0	0	0	0	0	0	0	0	0	0
ENSG00000006788.7	0	0	0	0	0	0	1	1	0	0
ENSG00000006831.9	136	148	130	131	24525	29943	22787	18046	26061	21532
ENSG00000006837.6	107	63	81	99	7690	9746	7360	5698	8659	7086
ENSG00000007001.7	0	0	0	0	0	0	0	0	0	0
ENSG00000007038.6	45	44	51	69	5481	7579	5343	4404	5711	5180
ENSG00000007047.10	21	17	38	33	3620	4753	3682	2721	3846	3062
ENSG00000007062.7	0	0	0	0	0	0	0	0	0	0
ENSG00000007080.5	383	227	361	323	17693	23909	16231	13773	18847	16223
ENSG00000007129.10	2	0	2	2	232	345	227	196	328	249
ENSG00000007168.6	180	135	123	98	34470	43631	34064	26733	38457	31923
ENSG00000007171.12	0	0	0	0	0	0	0	0	0	0
ENSG00000007174.12	0	0	0	0	0	1	2	2	2	0
ENSG00000007202.9	199	141	151	149	47922	61536	47916	35368	51180	45785
ENSG00000007216.10	0	0	0	0	0	0	0	1	0	0
ENSG00000007237.12	73	64	58	75	18540	24063	18209	13507	19100	16094
ENSG00000007255.6	49	27	20	16	2689	3680	2418	2212	2917	2305
ENSG00000007264.9	0	0	0	0	1	3	0	0	0	0
ENSG00000007306.9	0	0	0	0	0	0	0	0	0	0
ENSG00000007312.8	64	23	30	36	3116	3816	2816	2166	2808	2563
ENSG00000007314.7	0	0	0	0	4	4	9	4	2	6
ENSG00000007341.13	44	19	32	41	2528	3381	2421	1953	3001	2365
ENSG00000007350.12	1	0	0	0	59	117	99	80	66	69
ENSG00000007372.14	0	1	0	0	300	356	337	210	330	304
ENSG00000007376.3	99	51	105	56	9753	12987	9194	7968	10348	8898
ENSG00000007384.10	0	0	0	0	19	45	30	42	17	28
ENSG00000007392.12	120	91	120	137	15099	19794	14001	12074	16743	13763
ENSG00000007402.7	0	0	0	1	151	208	137	107	154	133
ENSG00000007516.9	6	2	6	1	1081	1511	1047	829	1054	967
ENSG00000007520.3	70	40	91	63	6099	8657	5871	4872	6462	6061
ENSG00000007541.10	16	13	20	16	3843	5582	3766	3308	3949	3550
ENSG00000007545.10	63	48	35	40	8786	11027	8639	7264	9366	8794
ENSG00000007866.14	0	0	0	0	49	54	36	18	27	42
ENSG00000007908.10	0	0	0	0	2	3	1	0	1	1
ENSG00000007923.11	125	100	126	122	12229	15441	11752	9325	13182	11737
ENSG00000007933.8	0	0	0	0	0	0	0	0	0	0
ENSG00000007944.10	0	0	0	0	135	253	172	77	186	169
ENSG00000007952.13	0	0	0	0	42	84	51	28	60	48
ENSG00000007968.6	229	175	150	186	26587	34954	26223	22888	30418	26366
ENSG00000008018.8	897	649	1041	860	29739	38369	28043	21394	31226	26498
ENSG00000008056.8	0	0	0	0	18	16	21	6	17	23
ENSG00000008083.9	141	119	107	108	23221	30059	23716	17700	25145	21828
ENSG00000008086.6	0	0	0	0	50	67	69	38	55	58
ENSG00000008118.5	0	0	0	0	0	0	0	0	0	0
ENSG00000008128.16	52	29	50	24	7456	9513	6967	5731	7766	6515
ENSG00000008130.10	106	34	85	99	16733	22340	16094	13355	18274	15702
ENSG00000008196.7	0	0	0	0	0	0	0	0	0	0
ENSG00000008197.4	0	0	0	0	2	6	7	4	8	1
ENSG00000008226.15	5	8	1	15	2579	3255	2334	1846	2570	2243
ENSG00000008256.11	8	3	1	33	2190	2861	2134	1793	2303	1976
ENSG00000008277.10	71	36	44	36	5925	8220	6417	4660	6939	6101
ENSG00000008282.3	640	431	749	545	31416	40203	31014	22273	33190	25538
ENSG00000008283.11	1	0	0	0	22	27	11	23	27	22
ENSG00000008294.16	84	52	123	86	12081	14454	11734	8647	12254	10417
ENSG00000008300.10	12	12	25	9	8245	11399	8171	7019	8883	8655
ENSG00000008311.10	0	0	0	0	0	2	2	0	0	0
ENSG00000008323.11	0	0	0	0	16	30	15	29	11	12
ENSG00000008324.6	81	39	69	67	4623	6065	4548	3715	5190	4069
ENSG00000008382.10	26	19	23	32	2407	3198	2378	1768	2350	2108
ENSG00000008394.7	0	0	0	0	0	0	0	0	0	0
ENSG00000008405.7	48	33	74	44	7583	9730	7528	5676	8258	6695
ENSG00000008438.3	0	0	0	0	43	47	22	26	21	30
ENSG00000008441.12	4	19	10	12	3520	4929	3518	2670	3956	3242
ENSG00000008513.10	23	21	27	14	8284	10469	8056	6690	9682	8353
ENSG00000008516.12	0	0	0	3	75	132	70	72	91	81
ENSG00000008517.12	419	333	411	411	21285	27661	20122	15731	22366	19691
ENSG00000008710.12	18	13	8	2	14694	21062	14985	12523	15120	15512
ENSG00000008735.10	0	0	0	0	76	129	74	73	84	85
ENSG00000008838.12	205	173	191	186	31555	41954	29726	24173	32945	28292
ENSG00000008853.12	4	4	0	0	662	799	704	513	799	599
ENSG00000008869.7	41	29	65	53	6694	8460	6613	4869	7001	6372
ENSG00000008952.11	229	137	231	161	13435	15873	13007	9595	14025	11008
ENSG00000008988.5	502	329	450	404	191126	243651	175011	139990	203736	168873
ENSG00000009307.11	1176	808	982	893	125108	155629	121358	87742	134672	109975
ENSG00000009335.13	185	86	146	130	24915	32241	24440	17540	26161	22172
ENSG00000009413.11	44	39	58	45	8397	10343	8601	6735	9104	8263
ENSG00000009694.9	10	9	4	10	1493	1972	1656	1134	1568	1536
ENSG00000009709.7	0	0	0	0	1	0	0	0	0	0
ENSG00000009724.12	0	0	0	0	442	760	529	363	429	424
ENSG00000009765.10	0	0	0	0	0	0	0	0	0	0
ENSG00000009780.10	35	24	26	40	2190	2793	2200	1465	2224	1856
ENSG00000009790.10	219	198	250	192	28161	34939	26623	20904	29635	25441
ENSG00000009830.6	20	18	16	8	3840	5146	3871	3063	4053	3604
ENSG00000009844.10	204	182	205	157	12782	15493	12113	9197	13792	11223
ENSG00000009950.11	0	0	0	0	0	1	3	1	1	1
ENSG00000009954.6	719	528	770	623	66809	85615	67163	50097	76029	64714
ENSG00000010017.9	175	148	158	148	14945	19698	14450	11740	16530	13634
ENSG00000010030.9	0	0	0	0	10	19	0	2	6	12
ENSG00000010072.11	72	37	83	62	3685	4550	3478	3037	4273	3392
ENSG00000010165.14	158	117	73	141	13283	17131	12387	11045	14758	12617
ENSG00000010219.8	55	29	53	47	3944	4976	3718	2788	3852	3275
ENSG00000010244.11	525	377	545	576	65808	86213	64488	50456	70406	58441
ENSG00000010256.6	599	364	487	525	34399	45813	32733	27036	35694	31042
ENSG00000010270.9	119	70	160	107	13446	17770	12999	9944	14950	12171
ENSG00000010278.7	0	0	2	2	43	42	48	25	42	28
ENSG00000010282.10	0	0	0	0	0	2	0	4	0	0
ENSG00000010292.8	666	582	601	582	89053	115288	86261	63467	92115	78589
ENSG00000010295.14	22	12	21	17	3187	4483	3128	2652	3400	2982
ENSG00000010310.4	0	0	0	0	21	21	18	23	18	8
ENSG00000010318.14	64	55	100	56	4786	6089	4368	3496	5074	4366
ENSG00000010319.2	2	0	0	0	165	268	167	150	219	191
ENSG00000010322.11	179	123	217	160	29421	39416	28616	23497	31147	27897
ENSG00000010327.6	1	2	1	0	357	502	313	262	361	293
ENSG00000010361.8	48	28	36	44	5225	7169	4971	4144	5586	4955
ENSG00000010379.11	0	0	0	0	3	4	4	2	4	0
ENSG00000010404.13	16	9	18	9	11550	15013	11743	8397	12245	10235
ENSG00000010438.11	0	0	0	0	3	7	5	6	3	1
ENSG00000010539.7	58	32	52	60	4404	5014	3734	3873	4752	4229
ENSG00000010610.5	52	24	26	35	4186	5251	3709	3164	4391	3660
ENSG00000010626.10	10	0	3	12	568	656	526	468	680	541
ENSG00000010671.11	0	0	0	0	36	38	32	35	32	17
ENSG00000010704.14	0	0	2	0	67	61	55	23	45	52
ENSG00000010803.12	81	54	63	60	16582	21400	15839	12521	17302	15150
ENSG00000010810.11	195	158	130	158	24414	31669	23518	17948	25487	21916
ENSG00000010818.4	70	52	54	67	8588	11779	9639	6507	10398	9315
ENSG00000010932.11	0	0	0	0	41	42	43	16	34	39
ENSG00000011007.7	80	57	110	73	14867	18680	14631	10764	15648	12996
ENSG00000011009.6	43	16	33	20	12005	16097	11407	8989	12555	10716
ENSG00000011021.17	23	30	25	20	5869	7514	5834	4620	6044	5452
ENSG00000011028.9	29	24	54	36	4786	6918	4895	3936	5477	4876
ENSG00000011052.16	658	409	620	552	25063	31584	23348	18333	26787	23045
ENSG00000011083.4	0	0	0	0	0	0	0	0	0	0
ENSG00000011105.7	0	0	1	1	15	22	6	9	15	14
ENSG00000011114.10	22	18	8	28	3404	4447	3496	2693	3789	3191
ENSG00000011132.7	32	17	21	36	2752	4001	2594	2364	2873	2657
ENSG00000011143.12	57	32	38	56	5392	6834	4957	4031	5434	4787
ENSG00000011198.3	32	15	31	13	1985	2473	1838	1409	2147	1832
ENSG00000011201.6	0	0	0	0	1	0	0	0	0	1
ENSG00000011243.10	126	77	118	134	13989	17737	12915	11324	14502	12916
ENSG00000011258.11	64	46	55	54	8674	11493	8842	6384	9585	7921
ENSG00000011260.9	190	153	210	211	18815	23832	17472	13210	19965	16918
ENSG00000011275.14	111	77	107	74	22535	29363	21967	17410	24238	21058
ENSG00000011295.9	139	107	116	152	17104	21237	15495	12612	17808	15284
ENSG00000011304.11	1235	767	1194	1013	177261	235468	168652	133367	186781	160826
ENSG00000011332.15	8	5	3	10	601	838	536	493	540	580
ENSG00000011347.5	0	0	0	0	1	1	0	5	0	1
ENSG00000011376.5	127	98	132	75	14199	18866	14036	10906	16015	13803
ENSG00000011405.9	22	11	43	22	3488	4627	3654	2785	3696	3244
ENSG00000011422.6	5	1	3	8	1424	1922	1375	1185	1590	1416
ENSG00000011426.6	338	248	263	251	24676	30688	24183	17017	24796	19925
ENSG00000011451.9	33	49	42	35	11453	15832	10687	9077	11483	10384
ENSG00000011454.11	64	58	81	66	8716	10813	8811	6538	9809	7987
ENSG00000011465.12	0	0	0	0	11	12	15	3	11	17
ENSG00000011478.7	16	23	19	33	2073	2672	1842	1624	1888	1687
ENSG00000011485.8	156	145	178	163	17456	23402	16505	13433	18574	15491
ENSG00000011523.9	13	12	13	21	3006	3771	2926	2315	3230	2857
ENSG00000011566.9	45	49	54	23	4848	6153	4794	3749	5182	4586
ENSG00000011590.9	0	0	0	0	7	8	4	7	11	9
ENSG00000011600.5	0	0	0	0	28	18	22	23	12	11
ENSG00000011638.6	24	26	36	8	1687	1996	1474	1185	1752	1508
