geneIDs	disperRaw	disperRawConverge	disperFitted	disperAdj	disperAdjConverge	pval	padj	TEctl	TEtrt	log2FoldChangeTE	RiboCon1	RiboCon2	RiboSil1	RiboSil3	TotalCon1	TotalCon2	TotalCon3	TotalSil1	TotalSil2	TotalSil3
ENSG00000204344.9	0.00492755166857	Y	0.00227477135417	0.00323445572377	Y	0.0398257167929	0.161429782387	0.0116399277325	0.00669170192581	-0.798637012452	20.0	26.0	18.0	9.0	1959.0	2058.0	1968.0	2291.0	1883.0	2012.0
ENSG00000124942.8	0.0201661645742	Y	0.00327952459683	0.0067973760901	Y	0.0398413109126	0.161430518568	0.0111440150503	0.00599136915017	-0.895311480378	15.0	10.0	0.0	14.0	1071.0	1094.0	1194.0	971.0	1105.0	1321.0
ENSG00000120833.9	9.27933703951e-05	Y	0.00142238526062	0.000706065159357	Y	0.039975624353	0.161912099564	0.00689419829129	0.00550083184483	-0.325732992323	99.0	88.0	76.0	76.0	13529.0	13765.0	13439.0	13847.0	14062.0	13719.0
ENSG00000157625.11	0.00140751374279	Y	0.00193191015033	0.00168966476788	Y	0.0400204108266	0.162030839968	0.00341941125686	0.00521252901095	0.608235560134	20.0	21.0	30.0	37.0	5715.0	6132.0	6341.0	6250.0	6501.0	6405.0
ENSG00000104164.5	0.000737601099037	Y	0.00172403354808	0.00125018186349	Y	0.0401020334072	0.162298569516	0.00268855978469	0.00386509000173	0.523668456115	36.0	26.0	52.0	35.0	11344.0	11510.0	11912.0	10987.0	11691.0	11231.0
ENSG00000172869.10	0.00489242544143	Y	0.00145486351529	0.00271278834886	Y	0.040121932254	0.162316384097	0.00682172694079	0.00879525912638	0.366589074984	53.0	77.0	80.0	89.0	9062.0	9240.0	10316.0	8956.0	9638.0	10198.0
ENSG00000111445.9	0.000105924434287	Y	0.00124752570797	0.00083080083755	Y	0.0401568161353	0.162394784634	0.0125828069222	0.0145391665833	0.208490784454	324.0	273.0	381.0	311.0	23673.0	23651.0	23883.0	23683.0	24224.0	23531.0
ENSG00000105618.9	0.000232154727723	Y	0.00126360056292	0.000752306533154	Y	0.0401827757393	0.162437048666	0.0127479030585	0.014779672878	0.213354385038	229.0	245.0	254.0	297.0	18779.0	18810.0	18266.0	18966.0	18334.0	18665.0
ENSG00000196345.7	0.00110762888389	Y	0.00525263588661	0.00364367651123	Y	0.0401995296925	0.162442081018	0.00971909903926	0.00317684887986	-1.61322611831	4.0	10.0	5.0	0.0	758.0	704.0	757.0	869.0	813.0	897.0
ENSG00000164151.7	0.0029161974471	Y	0.00135381637553	0.00196882374367	Y	0.0402703683914	0.162665575986	0.00507454414408	0.00647423934324	0.35143247279	121.0	87.0	138.0	132.0	20207.0	19552.0	21727.0	19952.0	20609.0	21966.0
ENSG00000139613.7	0.00911302773092	Y	0.00125309594281	0.00227608396381	Y	0.0403022272352	0.162691269192	0.00866182072782	0.0101440517132	0.227891786679	250.0	297.0	380.0	258.0	31163.0	31977.0	31574.0	31795.0	30578.0	31878.0
ENSG00000103248.12	0.000985790871614	Y	0.00224282007952	0.00180466214588	Y	0.0403077948781	0.162691269192	0.00752240621942	0.0119455429676	0.66720630998	15.0	15.0	33.0	14.0	1950.0	2020.0	2000.0	1840.0	2040.0	1938.0
ENSG00000161048.7	0.00239143963727	Y	0.00249107238569	0.00245033443738	Y	0.040381140191	0.162924523251	0.00387528519283	0.0067459886349	0.799727401654	13.0	9.0	27.0	13.0	2940.0	2715.0	2840.0	3098.0	2759.0	3000.0
ENSG00000101974.10	0.00254770060151	Y	0.00155683144845	0.00198802930751	Y	0.0403976405477	0.162928335424	0.00681462141822	0.00493647648267	-0.465151857076	59.0	67.0	51.0	40.0	9418.0	8682.0	9712.0	8711.0	9351.0	9480.0
ENSG00000006625.12	0.000533651721433	Y	0.00128744560046	0.00091489200131	Y	0.0404379486514	0.163028127088	0.0105489317952	0.0124787219842	0.242373270979	175.0	186.0	198.0	230.0	17422.0	16639.0	17160.0	17085.0	17548.0	16713.0
ENSG00000138835.17	0.00316805402382	Y	0.00196066962393	0.00241343710542	Y	0.0405623544045	0.163466756457	0.0114573412638	0.00770058982595	-0.573231439731	33.0	29.0	15.0	28.0	2783.0	2615.0	2625.0	2877.0	2541.0	2908.0
ENSG00000028839.4	0.000848869330219	Y	0.00167426778842	0.00133554392	Y	0.0405927934	0.163526506951	0.0110660961566	0.00803636079182	-0.461532124629	47.0	49.0	24.0	46.0	4476.0	4212.0	4232.0	4306.0	4468.0	4215.0
ENSG00000163428.3	0.00187087743945	Y	0.00126706633436	0.00155418068737	Y	0.0406210148505	0.163542684325	0.00745744315633	0.00877988413496	0.235520825355	227.0	234.0	276.0	245.0	29442.0	30320.0	33108.0	29160.0	29839.0	30027.0
ENSG00000108773.6	0.00170677264478	Y	0.00130937543266	0.00149059176297	Y	0.0406280374846	0.163542684325	0.00544553710183	0.00657778884273	0.272528344934	153.0	147.0	189.0	160.0	27257.0	28463.0	26793.0	27764.0	25146.0	26683.0
ENSG00000164167.5	0.00255152824308	Y	0.00126964788578	0.00183841023939	Y	0.0406807886255	0.163692116813	0.0221695206465	0.0266833305525	0.267361175345	232.0	201.0	259.0	261.0	10062.0	9488.0	9712.0	9218.0	10521.0	9514.0
ENSG00000110011.9	0.00719498703273	Y	0.00455745770786	0.00563470272178	Y	0.0407256397597	0.163809658542	0.00656026142044	0.00259344504112	-1.33888350886	7.0	10.0	3.0	4.0	1191.0	1456.0	1245.0	1432.0	1255.0	1308.0
ENSG00000204152.5	0.000519685375304	Y	0.00824871206126	0.00473125953482	Y	0.040756964055	0.163872722269	0.00468864187985	0.000885354475607	-2.40484299175	1.0	9.0	2.0	0.0	1044.0	1048.0	980.0	1019.0	1072.0	994.0
ENSG00000112659.8	0.00171515558874	Y	0.00166447099313	0.00168113310044	Y	0.0407901867384	0.163943367574	0.00317791942242	0.00423294173867	0.413578086873	30.0	42.0	65.0	31.0	11325.0	11465.0	11355.0	11871.0	10690.0	11438.0
ENSG00000122140.6	0.000817126980169	Y	0.00139592799307	0.00114783517755	Y	0.0408814204265	0.164214120291	0.0132223470309	0.0170812407675	0.369434490001	98.0	69.0	107.0	110.0	6345.0	6395.0	6137.0	6373.0	6071.0	6533.0
ENSG00000089060.7	0.000953667493249	Y	0.00167447711524	0.00135993208047	Y	0.0408952592781	0.164214120291	0.00736872710245	0.00505473670006	-0.543779480606	42.0	55.0	44.0	24.0	6319.0	6870.0	6586.0	6832.0	6621.0	6637.0
ENSG00000119661.8	0.00352488697922	Y	0.00271288007641	0.00296838944824	Y	0.04090458658	0.164214120291	0.00928211551201	0.0172717613674	0.89588965938	12.0	6.0	23.0	11.0	963.0	1025.0	1014.0	967.0	1086.0	920.0
ENSG00000097021.14	0.000914998677087	Y	0.00123700007786	0.00112922387875	Y	0.0409830511715	0.164277259078	0.0106360960039	0.0122493768301	0.20373965153	361.0	366.0	369.0	455.0	34075.0	35336.0	33105.0	34020.0	33201.0	33649.0
ENSG00000150776.13	0.00112960774259	Y	0.00143392161404	0.00129373958835	Y	0.0409802776412	0.164277259078	0.00741351716232	0.00960791816655	0.374065706839	78.0	64.0	97.0	86.0	9689.0	9346.0	9521.0	9157.0	10019.0	9392.0
ENSG00000135249.3	0.00105043465311	Y	0.00147422308655	0.00131468372372	Y	0.0409788269782	0.164277259078	0.0110841464874	0.00815086850481	-0.443471985555	67.0	96.0	70.0	46.0	7550.0	7041.0	7460.0	7234.0	7203.0	6913.0
ENSG00000079387.9	0.00153021914944	Y	0.00133325201352	0.00142270842739	Y	0.04094051765	0.164277259078	0.00715383077421	0.00862520029913	0.269841968826	113.0	133.0	160.0	138.0	16993.0	16640.0	17984.0	16519.0	17595.0	17707.0
ENSG00000164440.10	0.0153715215498	Y	0.00879899364899	0.010902139633	Y	0.0411498983054	0.164882951358	0.0140985887258	0.00340219137522	-2.05101455469	4.0	5.0	0.0	2.0	315.0	277.0	314.0	244.0	345.0	332.0
ENSG00000105135.10	0.0017285739448	Y	0.00142088139238	0.00155412095902	Y	0.0412370123747	0.165168821267	0.00696733620426	0.00909133037602	0.383884244763	87.0	64.0	98.0	93.0	10627.0	11258.0	10588.0	11058.0	10040.0	10450.0
ENSG00000097007.12	0.000198411101103	Y	0.00163535211264	0.000862820394344	Y	0.0412664329736	0.165223478198	0.00321530702148	0.00230325130021	-0.481284675953	48.0	54.0	44.0	33.0	16020.0	15910.0	15686.0	16732.0	16404.0	17071.0
ENSG00000140577.11	0.00043257198585	Y	0.00155765682599	0.000992714568249	Y	0.0413347312937	0.165433693378	0.00517154693628	0.00690912952867	0.417908068485	47.0	47.0	62.0	61.0	9139.0	9311.0	8836.0	8865.0	8686.0	9030.0
ENSG00000185728.11	0.00101719435708	Y	0.00135980368891	0.00121742426598	Y	0.0413739396621	0.165464163429	0.0124031507251	0.0101194700164	-0.293572915266	132.0	108.0	124.0	97.0	9576.0	9491.0	10036.0	11318.0	10838.0	10582.0
ENSG00000152409.8	0.000437913247619	Y	0.00205532861803	0.00136518872409	Y	0.0413664504041	0.165464163429	0.00950580762989	0.00599004033579	-0.666243488072	23.0	32.0	15.0	22.0	2889.0	2864.0	2975.0	3216.0	3007.0	3141.0
ENSG00000167460.10	0.000729489025965	Y	0.00142517635336	0.00106548244921	Y	0.0413986182147	0.165473169959	0.00207983568586	0.00162724196535	-0.354040764213	90.0	102.0	66.0	78.0	48008.0	45062.0	45474.0	44423.0	44839.0	43311.0
ENSG00000111802.9	0.00116181416545	Y	0.00135264539399	0.00126915358407	Y	0.0414077886636	0.165473169959	0.0134668189575	0.0107679867548	-0.322660566736	118.0	148.0	101.0	114.0	10024.0	9579.0	10071.0	9927.0	10397.0	9599.0
ENSG00000128731.11	0.00264677052398	Y	0.0019208306494	0.00221392030473	Y	0.0415138786238	0.165833853816	0.00154486788184	0.00244587798873	0.662868974473	29.0	12.0	41.0	27.0	12856.0	13453.0	14040.0	13183.0	13872.0	14709.0
ENSG00000139289.8	0.012629423207	Y	0.00718040412622	0.00891709928289	Y	0.0415986809211	0.166109258089	0.00448732638899	0.0182472707194	2.02375266493	3.0	0.0	5.0	6.0	255.0	342.0	287.0	268.0	294.0	326.0
ENSG00000165494.5	0.000607812719052	Y	0.0013345546161	0.000960464956175	Y	0.0416601318487	0.166291242753	0.00781608410613	0.00638073319823	-0.292723780793	135.0	153.0	123.0	128.0	18858.0	17911.0	18530.0	19423.0	20268.0	19378.0
ENSG00000247626.3	0.00056290145219	Y	0.00139371394729	0.00103338185169	Y	0.0417620562455	0.166634581758	0.00863487773253	0.0106631371043	0.304384287836	82.0	87.0	127.0	91.0	10068.0	9685.0	9642.0	9930.0	10461.0	10182.0
ENSG00000143786.3	6.64374795082e-06	Y	0.00217307488998	0.0019394148927	Y	0.0419096056889	0.167159638228	0.103408206349	0.0639808332717	-0.692638993699	23.0	26.0	13.0	20.0	243.0	248.0	221.0	249.0	272.0	242.0
ENSG00000072121.11	0.00328097023391	Y	0.00181149351605	0.0023157908417	Y	0.0419543309847	0.167274329172	0.00492226256559	0.0035959144917	-0.452962901757	48.0	25.0	21.0	34.0	7386.0	7133.0	7853.0	7368.0	7536.0	8197.0
ENSG00000178125.9	0.00114385406207	Y	0.00204765733693	0.00165281351382	Y	0.0420804299944	0.167649457498	0.00530650878233	0.00833023484067	0.650594161461	19.0	17.0	27.0	30.0	3530.0	3316.0	3318.0	3314.0	3595.0	3458.0
ENSG00000219626.4	0.00267516284218	Y	0.00793831420802	0.00622253694247	Y	0.0420746947272	0.167649457498	0.0108819670659	0.00390711107632	-1.47776519124	9.0	0.0	0.0	3.0	377.0	424.0	414.0	414.0	423.0	365.0
ENSG00000175213.2	0.00318646027213	Y	0.00190304977995	0.00238621067799	Y	0.0421110089032	0.167707493252	0.00902868723272	0.00572627629841	-0.656918952251	29.0	39.0	30.0	15.0	3590.0	3954.0	3707.0	4021.0	3623.0	4053.0
ENSG00000165646.7	0.000660213618848	Y	0.00170507273084	0.00120003645729	Y	0.042231948008	0.16809364951	0.00450905045023	0.00618364418996	0.455633656353	28.0	39.0	46.0	43.0	7429.0	7158.0	7647.0	7065.0	7316.0	7039.0
ENSG00000085760.9	0.000122550554833	Y	0.00152061049925	0.000869275175492	Y	0.0422400692678	0.16809364951	0.00847271104412	0.0108436262801	0.355951724506	43.0	60.0	74.0	64.0	6127.0	5992.0	6118.0	6189.0	6447.0	6371.0
ENSG00000138760.4	0.000954060040366	Y	0.00204061654558	0.00164117006971	Y	0.0422621591081	0.168105890207	0.013814997254	0.00834659960067	-0.726974806034	19.0	40.0	17.0	18.0	2209.0	2046.0	2180.0	2158.0	2109.0	2031.0
ENSG00000164284.10	0.00297289367809	Y	0.00302742036041	0.00300476522079	Y	0.0422752448736	0.168105890207	0.00476079452751	0.00252543676926	-0.914669443876	12.0	16.0	3.0	13.0	3034.0	2943.0	3016.0	2755.0	3217.0	3089.0
ENSG00000125733.11	0.00725809682889	Y	0.00719552474342	0.00721662339859	Y	0.0423077661182	0.16817136331	0.0137920375759	0.00448356452167	-1.62111754571	8.0	2.0	1.0	2.0	340.0	399.0	395.0	360.0	293.0	349.0
ENSG00000102172.11	0.000742309289002	Y	0.00208107155702	0.00147269396571	Y	0.0423539115076	0.168290921522	0.0013727514244	0.000984212267947	-0.480029003754	41.0	11.0	15.0	22.0	19565.0	19319.0	18651.0	18397.0	19509.0	19084.0
